,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,Demanda Bioquímica de Oxígeno (DBO) [mg/L],Demanda Química de Oxígeno (DQO) [mg/L],Sólidos Suspendidos Totales (SST) [mg/L],Coliformes Fecales (CF) [NMP/100mL],E. Coli (EC) [NMP/100mL],Enterococos (ENT) [NMP/100mL],Toxicidad aguda (TA) [UTa],Oxígeno Disuelto (OD) [mg/L],SEMAFORO,CONTAMINANTES
10,DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.4263,22.15254,2012-2023,<3,27.72,<25,122,10,,,,Verde,
11,DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.44221,22.13077,2012-2023,<3,26.253999999999998,<25,41,<3,,,,Verde,
12,DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.44423,22.14564,2012-2023,<3,26.971,<25,25.5,<3,,,,Verde,
13,DLAGU17,PRESA PRESIDENTE CALLES PAREDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.45887,22.13645,2012-2023,3.59,27.868,<25,46.5,<3,,,,Verde,
14,DLAGU18,PRESA 50 ANIVERSARIO CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA 50 ANIVERSARIO,LÉNTICO,PRESA,-102.4653,22.18899,2012-2023,3.06,34.215,<25,160,10,,,,Amarillo,"OD%F,"
15,DLAGU20,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,RIO CHICALOTE,LÓTICO,RÍO,-102.29445,21.98063,2012-2023,407,767.8399999999999,230,241960,241960,,9.242,10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
16,DLAGU21,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,RIO CHICALOTE,LÓTICO,RÍO,-102.28905,21.98524,2012-2023,145.475,580.4,162.5,241960,241960,,8.17,<10,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,"
17,DLAGU22,RIO SAN PEDRO AGUAS ARRIBA DE LA CD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,RÍO SAN PEDRO,LÓTICO,RÍO,-102.33,21.94,2012-2023,40.98,293.05,80,24196,24196,,4.07,12,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
18,DLAGU23,PRESA LOS GRINGOS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA LOS GRINGOS,LÉNTICO,PRESA,-102.26814,21.90766,2012-2023,26.3,136.35,55.8,24196,2142,,,,Rojo,"DQO,CF,E_COLI,OD%S,TOX_S,"
19,DLAGU24,PRESA EL CEDAZO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL CEDAZO,LÉNTICO,PRESA,-102.25658,21.86921,2012-2023,11.38,60,25,24196,4884,,,,Rojo,"DQO,CF,E_COLI,"
20,DLAGU25,"NISSAN MEXICANA, S.A. DE C.V.",LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,ARROYO SAN FRANCISCO Y SUCIO,LÓTICO,DESCARGA,-102.28459,21.81494,2012-2023,4.02,196.2,60.9091,<3,<3,,1.43,62.9,Rojo,"DQO,TOX_L,"
21,DLAGU26,DESCARGA DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,RÍO SAN PEDRO,LÓTICO,DESCARGA,-102.34222,21.83418,2012-2023,8.09,58.900000000000006,<25,4352,1354,,16.273,63.15,Rojo,"DQO,CF,E_COLI,TOX_L,"
22,DLAGU27,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,-102.35734,21.81824,2012-2023,65.77,199.42,49.285,24196,24196,,3.82,12,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,"
23,DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,-102.33361,21.84536,2012-2023,70.435,187.485,44.825,133078,133078,,<1,25.4,Rojo,"DBO,DQO,CF,E_COLI,OD%L,"
24,DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.37299,21.81627,2012-2023,31.92,84.9,30,24196,24196,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%S,OD%M,OD%F,TOX_S,TOX_F,"
25,DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.37466,21.8007,2012-2023,26.7,91.33,31,24196,24196,,,,Rojo,"DQO,CF,E_COLI,OD%S,OD%M,OD%F,TOX_F,"
26,DLAGU30,PRESA EL NIAGARA 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.36799,21.79024,2012-2023,19.575,81.6478,28,24196,10918.5,,,,Rojo,"DQO,CF,E_COLI,OD%S,OD%M,OD%F,"
27,DLAGU31,PRESA EL NIAGARA CANAL DE RIEGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,PRESA EL NIAGARA,LÓTICO,CANAL,-102.37381,21.77918,2012-2023,18.87,70.005,25.5,24196,3351.5,,1.5,30.35,Rojo,"DQO,CF,E_COLI,"
28,DLAGU32,PRESA EL NIAGARA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,-102.3708,21.78043,2012-2023,20.45,101.8656,33,24196,1441.5,,,,Rojo,"DQO,CF,E_COLI,OD%M,OD%F,TOX_F,"
29,DLAGU32M1,HIDRANTE PARCELARII DISTRITO DE RIEGO 001 PABELLON,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,PABELLON DE ARTEAGA,RÍO SAN PEDRO,PRESA PRESIDENTE CALLES,LÉNTICO,SISTEMA DE RIEGO DE LA PRESA,-102.34201,22.143375,2012-2023,4.609999999999999,22.955,<25,52,<3,,,,Verde,
30,DLAGU33,RIO SAN PEDRO LAGUNA EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,-102.37363,21.75618,2012-2023,18,78.68299999999999,<25,24196,24196,,<1,69.3,Rojo,"DQO,CF,E_COLI,"
31,DLAGU35,RIO SAN PEDRO PUENTE SAN PEDRO CIENEGUILLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,-102.40724,21.71666,2012-2023,11.06,63.44,94,24196,1793,,<1,67.5,Rojo,"DQO,CF,E_COLI,"
32,DLAGU36M1,PRESA LAS MERCEDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,PRESA EL NIÁGARA,PRESA LAS MERCEDES,LÉNTICO,PRESA,-101.86181,21.99751,2012-2023,<3,35.015,<25,223,5.75,,,,Verde,
33,DLAGU36MI,PRESA MESILLAS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,TEPEZALA,RIO SAN PEDRO,PRESA MESILLAS,LENTICO,PRESA,-102.1602361,22.3111151,2012-2023,,330,47.5,,,,,,Rojo,"DQO,"
34,DLAGU37M1,RIO SAN PEDRO SUR DEL PARQUE RECREATIVO EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,-102.36757,21.74109,2012-2023,15,66.63,<25,24196,24196,,<1,42.95,Rojo,"DQO,CF,E_COLI,"
35,DLAGU38M1,RIO SAN PEDRO EXHACIENDA AGOSTADERITO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,-102.36137,21.76688,2012-2023,17.28,68.303,<25,24196,1250,,<1,72.3,Rojo,"DQO,CF,E_COLI,"
36,DLAGU40,PRESA MEDIA LUNA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MEDIA LUNA,LÉNTICO (HUMEDAL),PRESA,-102.77811,21.82335,2012-2023,3.82,39.69,<25,2552.5,610.5,,,,Amarillo,"CF,"
37,DLAGU41,DESCARGA CALVILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,RIO CALVILLO (DESCARGA),LÓTICO,DESCARGA,-102.73815,21.84769,2012-2023,<3,27.9936,<25,1690.5,499,,32.89,94.4,Rojo,"CF,TOX_L,"
38,DLAGU43,PRESA PEÑA BLANCA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,-102.75308,21.90446,2012-2023,4.11,36.36,<25,238,<3,,,,Verde,
39,DLAGU45,PRESA ORDEÑA VIEJA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA ORDEÑA VIEJA,LÉNTICO,PRESA,-102.72268,21.94775,2012-2023,3.37,48.06,<25,171,<3,,,,Rojo,"DQO,"
40,DLAGU46,PRESA LA CODORNIZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA LA CODORNIZ,LÉNTICO,PRESA,-102.67545,21.99809,2012-2023,4.16,39.925,<25,249,10,,,,Verde,
41,DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,-102.65304,21.85799,2012-2023,4.82,43.7646,<25,275,<3,,,,Rojo,"DQO,"
42,DLAGU48,PRESA MAL PASO COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,-102.6479,21.85779,2012-2023,4.22,39.2496,<25,317,10,,,,Verde,
43,DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.4286,21.91633,2012-2023,5.12,45.53,<25,556,10,,,,Rojo,"DQO,OD%F,"
44,DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.43485,21.9116,2012-2023,4.074999999999999,52.22,<25,397.5,<3,,,,Rojo,"DQO,"
45,DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,-102.4331,21.91555,2012-2023,5.15,61.77,<25,611,<3,,,,Rojo,"DQO,OD%F,"
46,DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,RÍO SAN PEDRO,PRESA EL SAUCILLO,LÉNTICO,PRESA,-102.33911,22.2473,2012-2023,4.13,46.06,<25,246,20,,,,Rojo,"DQO,"
47,DLBAJ100,"LOS CABOS SEG 22, 2 ISA10B",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSÉ DEL CABO,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,-109.842896,22.90473,2012-2023,,,<25,5.75,,<3,,,Verde,
48,DLBAJ101,"LOS CABOS SEG 22, 1 ISA10B",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,-109.864419,22.8988,2012-2023,,,<25,5.75,,<3,,,Verde,
49,DLBAJ102,LOS CABOS 3,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.886041,22.896087,2012-2023,,,<25,<3,,<3,,,Verde,
50,DLBAJ103,LOS CABOS 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.896574,22.876935,2012-2023,,,<25,<3,,<3,,,Verde,
51,DLBAJ104,BAHIA CABO SAN LUCAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.9025,22.88,2012-2023,,,<25,<3,,<3,,,Verde,
52,DLBAJ105,LOS CABOS 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.9054,22.8831,2012-2023,,,<25,<3,,<3,,,Verde,
53,DLBAJ106W2,LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,TODOS SANTOS,COSTERO,LAGUNA,-110.239019,23.439303,2012-2023,4.8149999999999995,60.09,44.715,2001,164.5,20.5,<1,98.7,Rojo,"DQO,CF,OD%F,TOX_S,TOX_F,"
54,DLBAJ109,MANANTIAL SAN REGIS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,TODOS SANTOS,LÓTICO,ARROYO,-110.22379,23.45805,2012-2023,<3,<10,<25,3873,160,,<1,77,Amarillo,"CF,"
55,DLBAJ112,AGUA CALIENTE II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SANTIAGO,SANTIAGO,LÓTICO,ARROYO,-109.80786,23.43995,2012-2023,<3,<10,<25,455,<3,,<1,87.5,Verde,
56,DLBAJ113,"ROCA FOSFORICA MEXICANA, S.A. DE C.V. III",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,ALFREDO B. BONFIL,GOLFO DE CALIFORNIA,COSTERO,DESCARGA,-110.67942,24.36397,2012-2023,,,25,426,,10,,,Verde,
57,DLBAJ114W1,"ROCA FOSFORICA MEXICANA, S.A. DE C.V.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,ALFREDO B. BONFIL,GOLFO DE CALIFORNIA,COSTERO,DESCARGA INDUSTRIAL,-110.70556,24.36563,2012-2023,5.56,247.2,52,557,168,10,1.63,101.7,Rojo,"DQO,"
58,DLBAJ115,"ROCA FOSFORICA MEXICANA, S.A. DE C.V. (PARTE MEDIA)",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,ALFREDO B. BONFIL,GOLFO DE CALIFORNIA,LÓTICO,DESCARGA,-110.69701,24.36765,2012-2023,4.29,222.48,25.5,1281,130,,1.65,132.5,Rojo,"DQO,CF,OD%L,"
59,DLBAJ116,"ROCA FOSFORICA MEXICANA, S.A. DE C.V.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,ALFREDO B. BONFIL,GOLFO DE CALIFORNIA,LÓTICO,DESCARGA,-110.68807,24.36745,2012-2023,3.9000000000000004,180.86,43.25,1563.5,624,,7.45,124.115,Rojo,"DQO,CF,TOX_L,"
60,DLBAJ120,BOCA DE LA SIERRA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSÉ DEL CABO,SAN JOSE DEL CABO,LÓTICO,RÍO,-109.827745,23.3889,2012-2023,<3,<10,<25,459,10,,<1,93.42500000000001,Verde,
61,DLBAJ120M1,BOCA DE LA SIERRA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSÉ DEL CABO,SAN JOSE DEL CABO,LÓTICO (HUMEDAL),ARROYO,-109.8261,23.39128,2012-2023,<3,<10,<25,166.5,<3,,<1,97.7,Verde,
62,DLBAJ121,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LAS POCITAS-SAN HILARIO,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,LÓTICO (HUMEDAL),ARROYO,-110.951528,24.502889,2012-2023,<3,<10,<25,4106,20,,<1,49.8,Amarillo,"CF,"
63,DLBAJ123,OASIS DE LA SIERRA EL PILAR 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LAS POCITAS-SAN HILARIO,CUERPO DE AGUA DEL HUMEDAL,LÓTICO (HUMEDAL),ARROYO,-111.00268,24.46953,2012-2023,<3,<10,<25,85,<3,,<1,83.7,Verde,
64,DLBAJ124,MANANTIAL CADUAÑO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSÉ DEL CABO,SAN JOSE DEL CABO,LÓTICO (HUMEDAL),CANAL,-109.77912,23.337,2012-2023,<3,<10,<25,5546,109.5,,1.12233445566779,75.7,Amarillo,"CF,"
65,DLBAJ126,MANANTIAL SAN BARTOLO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,SAN BARTOLO,SAN BARTOLO,LÓTICO,ARROYO,-109.84545,23.73546,2012-2023,<3,<10,<25,1948,41,,<1,91.4,Amarillo,"CF,"
66,DLBAJ132,HUMEDAL LOS COMONDU 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,HUMEDAL LOS COMONDU 1,LÓTICO (HUMEDAL),ARROYO,-111.80531,26.06218,2012-2023,<3,<10,<25,2046,122,,4.024,90.9,Amarillo,"CF,"
67,DLBAJ133,ESTERO EL COYOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,SAN IGNACIO,ESTERO,COSTERO (HUMEDAL),ESTERO,-113.46249,26.80955,2012-2023,,,<25,<3,,<3,,,Verde,
68,DLBAJ134,ESTERO SAN JORGE LA POZA GRANDE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,ESTERO,COSTERO,ESTERO,-112.09347,25.69695,2012-2023,,,<25,36,,<3,,,Verde,
69,DLBAJ135,HUMEDAL LOS COMONDU 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,HUMEDAL LOS COMONDU 2,LÓTICO (HUMEDAL),ARROYO,-111.8325,26.03686,2012-2023,<3,14.48,<25,2143,156,,<1,90.2,Amarillo,"CF,"
70,DLBAJ138,PARQUE NACIONAL BAHIA DE LORETO 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO (HUMEDAL),BAHIA,-111.23517,25.7233,2012-2023,,,<25,<3,,<3,,,Verde,
71,DLBAJ139,BAHIA DE LORETO 4,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO (HUMEDAL),BAHIA,-111.2583,25.74527,2012-2023,,,<25,<3,,<3,,,Verde,
72,DLBAJ140,"PLAYA JUNTO A PUERTO ESCONDIDO BCS SEG 24, 1 ISA8A",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO,BAHIA,-111.30427,25.80818,2012-2023,,,<25,<3,,<3,,,Verde,
73,DLBAJ141,PARQUE NACIONAL BAHIA DE LORETO 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO,BAHIA,-111.33986,25.8758,2012-2023,,,<25,<3,,<3,,,Verde,
74,DLBAJ142,BAHIA CONCEPCION 4,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,BAHÍA CONCEPCIÓN,GOLFO DE CALIFORNIA,COSTERO,BAHIA,-111.84848,26.66315,2012-2023,,,<25,31,,<3,,,Verde,
75,DLBAJ142M1,BAHIA CONCEPCION 4,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,BAHÍA CONCEPCIÓN,GOLFO DE CALIFORNIA,COSTERO,BAHIA,-111.84628,26.66305,2012-2023,,,<25,16.25,,<3,,,Verde,
76,DLBAJ143,BAHIA DE LORETO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO,BAHIA,-111.33105,25.8363,2012-2023,,,<25,<3,,<3,,,Verde,
77,DLBAJ144,BAHIA LORETO 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,LORETO,GOLFO DE CALIFORNIA,COSTERO (HUMEDAL),BAHIA,-111.33488,26.00486,2012-2023,,,<25,46.5,,<3,,,Verde,
